章節,題號,題目內容,選項A,選項B,選項C,選項D,選項E,正確答案,難易度,詳解
第1章　介紹,1,「運算思維」其實是一種什麼的能力？,創意創造,表達溝通,解決問題,生涯規劃,以上皆非,C,easy,運算思維（Computational Thinking）的核心是透過分解問題、模式識別、抽象化與演算法設計來解決問題，而非單純的創意或溝通能力。
第1章　介紹,2,下列何者被譽為「電腦科學之父」？,牛頓,費曼,圖靈,愛因斯坦,以上皆非,C,easy,艾倫·圖靈（Alan Turing）被公認為電腦科學之父，他提出了圖靈機模型，為現代計算機的理論基礎奠定了基石。牛頓為物理學家，費曼為物理學家，愛因斯坦為物理學家。
第1章　介紹,3,下列何者不是「電腦科學」領域的討論範疇？,資料結構與演算法,軟體工程,奈米科技,人工智慧,網路與資訊安全,C,easy,奈米科技屬於材料科學與物理學的範疇，與電腦科學無直接關聯。資料結構與演算法、軟體工程、人工智慧、網路與資訊安全皆為電腦科學的核心領域。
第1章　介紹,4,電腦科學領域中，「計算機組織」是屬於下列哪個討論範疇？,硬體,軟體,網路,多媒體,人工智慧,A,easy,計算機組織（Computer Organization）探討CPU、記憶體、I/O等硬體元件的結構與運作方式，屬於硬體範疇。
第1章　介紹,5,電腦科學領域中，「資料結構」是屬於下列哪個討論範疇？,硬體,軟體,網路,多媒體,人工智慧,B,easy,資料結構（Data Structures）探討資料在記憶體中的組織、管理與儲存方式，是軟體設計的基礎，屬於軟體範疇。
第1章　介紹,6,電腦科學領域中，「機器學習」是屬於下列哪個討論範疇？,硬體,軟體,網路,多媒體,人工智慧,E,easy,機器學習（Machine Learning）是人工智慧（AI）的核心子領域，讓電腦能夠從資料中學習與改進，不需明確程式設計。
第1章　介紹,7,電腦科學領域中，「深度學習」是屬於下列哪個討論範疇？,硬體,軟體,網路,多媒體,人工智慧,E,easy,深度學習（Deep Learning）是機器學習的分支，使用多層神經網路進行學習與推理，屬於人工智慧的範疇。
第1章　介紹,8,C、C++、Python 是一種什麼？,電腦硬體,程式語言,電腦遊戲,電腦網路,以上皆非,B,easy,C、C++ 和 Python 都是高階程式語言（Programming Language），用來編寫電腦程式，讓電腦執行特定任務。
第1章　介紹,9,下列何者是「資料結構」的主要目的？,進行數學運算,組織、管理與儲存資料,執行選擇敘述,根據輸入產生輸出,以上皆非,B,easy,資料結構（Data Structure）的主要目的是有效率地組織、管理與儲存資料，以便後續進行快速的存取與操作。
第1章　介紹,10,「資料結構」是屬於下列何種資料型態？,基本資料型態,混合資料型態,抽象資料型態,以上皆非,,C,medium,"資料結構屬於抽象資料型態（Abstract Data Type, ADT），它定義了資料的組織方式與允許的操作，但不涉及具體的實作細節。"
第1章　介紹,11,「資料結構」是屬於運算思維的哪一個核心項目？,分解問題,模式識別,抽象化,演算法設計,以上皆非,C,medium,資料結構著重於將現實世界的資料抽象化為特定的組織形式（如陣列、樹、圖等），因此屬於運算思維中的「抽象化」核心項目。
第1章　介紹,12,下列電腦科學家中，誰曾經說過：「Data Structures + Algorithms = Programs」？,Alan Turing,Denis Richie,Niklaus Wirth,Guido van Rossum,James Gosling,C,medium,瑞士電腦科學家 Niklaus Wirth（尼克勞斯·維爾特）在其經典著作《Algorithms + Data Structures = Programs》中提出了這個著名等式。他同時也是Pascal語言的發明者。
第1章　介紹,13,電腦科學領域中，「資料」與「資訊」的理論基礎為何？,進化論,圖形理論,資訊理論,相對論,量子理論,C,medium,資訊理論（Information Theory）由 Claude Shannon 提出，為資料與資訊的概念提供了數學基礎，定義了資訊的量化度量與通訊的極限。
第1章　介紹,14,下列有關「資料」與「資訊」的敘述，何者正確？,資料與資訊的意義相同,資料是指未經處理的文字、數字、符號或圖形；資訊是指資料經過具有意義的處理而得,資訊是指未經處理的文字、數字、符號或圖形；資料是指資訊經過具有意義的處理而得,資料與資訊無直接關係,,B,easy,資料（Data）是未經處理的原始素材，如文字、數字、符號或圖形；而資訊（Information）則是將資料經過整理、分析與解釋後，產生具有意義與價值的結果。
第1章　介紹,15,「資料處理」的主要目的為何？,降低資料庫的資料量,增加資料的複雜性,提供有價值的資訊,蒐集大量的資料,,C,easy,資料處理的主要目的是將原始資料經過計算、分析、歸納等處理程序，轉換為對使用者有價值、有意義的資訊，以支援決策與應用。
