章節,題號,題目內容,選項A,選項B,選項C,選項D,選項E,正確答案,難易度,詳解
第7章　樹狀結構,1,下列何種資料結構，經常用來表示階層式架構？,鏈結串列,堆疊,佇列,樹,雜湊表,D,easy,樹狀結構是典型的階層式資料結構，用來表示具有父子關係的資料，例如檔案系統的目錄結構、網頁的DOM樹、組織架構圖等。鏈結串列、堆疊、佇列都是線性結構，無法表示階層關係。
第7章　樹狀結構,2,「樹」的資料結構中，若某節點沒有子節點，則稱為何？,根節點,內部節點,樹葉節點,兄弟節點,,C,easy,在樹狀結構中，沒有子節點的節點稱為樹葉節點（Leaf Node）或終端節點。根節點是樹中最上層的節點，內部節點是既有父節點也有子節點的節點，兄弟節點則是指擁有相同父節點的節點。
第7章　樹狀結構,3,「樹」的資料結構中，某節點的所有子節點的個數稱為何？,階層 (Level),高度 (Height),深度 (Depth),分支度 (Degree),以上皆非,D,easy,分支度（Degree）指的是某個節點所擁有的子節點個數。整棵樹的分支度則以所有節點中最大的分支度為準。若一棵樹中所有節點的分支度都不超過 2，則為二元樹。
第7章　樹狀結構,4,「二元樹」中，每個節點最多可以有幾個子節點？,1,2,3,4,以上皆非,B,easy,二元樹（Binary Tree）的定義就是每個節點最多只能有兩個子節點，分別稱為左子節點與右子節點。這是二元樹與一般樹之間最重要的區別。
第7章　樹狀結構,5,若「二元樹」共有5 個節點，則二元樹的最小可能高度為何？,2,3,4,5,以上皆非,B,medium,要讓二元樹高度最小，必須讓節點盡量填滿每一層。高度為 h 的二元樹最多可以有 2ʰ − 1 個節點。5 個節點時：高度 2 最多可容納 3 個節點（2²−1=3），不夠，高度 3 最多可容納 7 個節點（2³−1=7），足夠，故最小高度為 3。
第7章　樹狀結構,6,若「二元樹」共有5 個節點，則二元樹的最大可能高度為何？,2,3,4,5,以上皆非,D,medium,要讓二元樹高度最大，必須讓每個節點都只有一個子節點，形成歪斜樹（Skewed Tree）。此時樹退化為鏈結串列，n 個節點的高度即為 n，因此 5 個節點的最大高度為 5。
第7章　樹狀結構,7,若「二元樹」共有n個節點，則二元樹的最小可能高度為何？,n,log₂(n+1),⌊log₂n⌋+1,⌈log₂(n+1)⌉,以上皆非,D,hard,高度為 h 的二元樹最多可容納 2ʰ − 1 個節點。反過來說，n 個節點的二元樹最矮的情況就是完全二元樹，高度為 ⌈log₂(n+1)⌉。例如 n=5 時，⌈log₂(6)⌉ = ⌈2.58⌉ = 3。
第7章　樹狀結構,8,一棵深度為5的「二元樹」，則最多可能的節點數為何？,32,31,64,63,以上皆非,B,medium,深度為 k 的二元樹，其最多節點數為 2ᵏ − 1（即滿二元樹的情況）。本題深度為 5，代入公式：2⁵ − 1 = 32 − 1 = 31。選項 A 的 32 是 2⁵，忘記減 1，是常見陷阱。
第7章　樹狀結構,9,某「二元樹」的所有節點都只有左子樹，或都只有右子樹，則樹的名稱為何？,完整二元樹 (Complete Binary Tree),完滿二元樹 (Full Binary Tree),歪斜二元樹 (Skewed Binary Tree),以上皆非,,C,easy,歪斜二元樹（Skewed Binary Tree）的特徵是每個節點都只有一個子節點，全部向左或全部向右，看起來就像一條歪斜的鏈結。完滿二元樹要求所有節點都有 2 或 0 個子節點，完整二元樹則要求節點從左到右連續排列。
第7章　樹狀結構,10,若有5個節點，則相異的「二元樹」共有幾種？,25,32,42,60,以上皆非,C,hard,有 n 個節點的相異二元樹數量為第 n 個卡泰蘭數（Catalan Number）：Cₙ = (2n)! / (n+1)!n!。n=5 時，C₅ = (10!)/(6!×5!) = 3628800/(720×120) = 42。
第7章　樹狀結構,11,給定下列的樹：請問這棵樹是不是「完整二元樹」？,是,否,不一定,,,B,medium,完整二元樹（Complete Binary Tree）的定義為：除了最後一層外，其餘各層都是滿的，且最後一層的節點從左到右連續排列，中間不能有空缺。題目中的樹不符合「從左到右連續排列」的特性，因此不是完整二元樹。
第7章　樹狀結構,12,承上題，請問這棵樹是不是「完滿二元樹」？,是,否,不一定,,,B,medium,完滿二元樹（Full Binary Tree）又稱嚴格二元樹，定義為：每個節點都必須有 2 個或 0 個子節點（即不能有分支度為 1 的節點）。題目中的樹包含了分支度為 1 的節點，因此不是完滿二元樹。
第7章　樹狀結構,13,承上題，請問這棵樹是不是「二元搜尋樹」？,是,否,不一定,,,B,medium,"二元搜尋樹（Binary Search Tree, BST）的定義為：對於任一節點，其左子樹中所有節點的值都小於該節點，右子樹中所有節點的值都大於該節點。題目中的樹不符合此規則，因此不是二元搜尋樹。（由於承第 11、12 題的同一棵樹，該樹結構本身就不是 BST。）"
第7章　樹狀結構,14,下列何種資料結構，經常被用來實現「二元搜尋樹」？,陣列,鏈結串列,堆疊,佇列,以上皆非,B,easy,二元搜尋樹在插入與刪除操作時需要頻繁調整節點間的鏈結關係。鏈結串列（Linked List）透過指標連結節點，能夠動態地插入或刪除節點而不需要搬移大量資料，因此最適合用來實現二元搜尋樹。
第7章　樹狀結構,15,下列何者的走訪次序是「左子樹、根節點、右子樹」？,前序走訪,中序走訪,後序走訪,層序走訪,以上皆非,B,easy,二元樹的三種基本走訪順序為：前序走訪（Preorder）：根節點 → 左子樹 → 右子樹。中序走訪（Inorder）：左子樹 → 根節點 → 右子樹。後序走訪（Postorder）：左子樹 → 右子樹 → 根節點。題目描述的「左子樹、根節點、右子樹」即為中序走訪。
第7章　樹狀結構,16,下列何者為二元樹的前序走訪？,F B A D C E G I H,A B C D E F G H I,A C E D B H I G F,以上皆非,,A,medium,前序走訪的順序為：根節點 → 左子樹 → 右子樹。根據題目中的二元樹圖形，從根節點 F 開始，先拜訪 F，再走訪左子樹（B→A→D→C→E），最後走訪右子樹（G→I→H），可得 F B A D C E G I H 的順序。
第7章　樹狀結構,17,下列的資料結構中，何者適合用來實現二元搜尋樹的「層序走訪」(Level-Order Traversal)？,陣列,鏈結串列,堆疊,佇列,以上皆非,D,easy,層序走訪（Level-Order Traversal）又稱廣度優先走訪，按照從上到下、從左到右的順序拜訪每個節點。這種走訪方式需要先進先出（FIFO）的特性，正是佇列（Queue）的核心特徵。實作時先將根節點放入佇列，然後重複取出節點並將其子節點加入佇列。
