章節,題號,題目內容,選項A,選項B,選項C,選項D,選項E,正確答案,難易度,詳解,連貫題組別,自編題目,題目來源
第12章　AVL樹,1,下列何者不是「平衡搜尋樹」？,二元搜尋樹,AVL樹,紅黑樹,B-樹,伸展樹,A,medium,二元搜尋樹（BST）沒有強制平衡機制，在極端情況下會退化為歪斜樹，因此不是平衡搜尋樹。AVL樹、紅黑樹、B-樹和伸展樹都有各自的平衡機制。,,,
第12章　AVL樹,2,「AVL樹」是如何命名的？,根據樹的性質命名,由於樹的特殊操作命名,根據原創人名命名,由一群電腦科學家共同命名,無特殊意義,C,easy,AVL樹以其發明者 Adelson-Velsky 和 Landis 的姓氏首字母命名。他們在 1962 年發表了這種自平衡二元搜尋樹。,,,
第12章　AVL樹,3,下列何者是「AVL樹」的特性？,樹的每個節點至多有一個子節點（或子樹）,樹的每個節點至多有兩個子節點（或子樹）,樹的每個節點至多可以存放兩筆資料（或鍵值）,樹的左子樹與右子樹的高度相差不超過 1,,D,easy,AVL樹的核心特性是平衡條件：任意節點的左子樹高度與右子樹高度之差的絕對值不超過 1（即平衡因子為 -1、0 或 1）。,,,
第12章　AVL樹,4,「AVL樹」中，每個節點的「平衡因子」(Balance Factor) 如何計算而得？,該節點的左子樹高減右子樹高,該節點的右子樹高減左子樹高,左子樹高與右子樹高的最大值,左子樹的節點數減右子樹的節點數,右子樹的節點數減左子樹的節點數,A,medium,AVL樹的平衡因子（Balance Factor）= 左子樹高度 - 右子樹高度。平衡因子的值必須為 -1、0 或 1，若超出此範圍則需要進行旋轉調整。,,,
第12章　AVL樹,5,「AVL樹」中，若不平衡的型態為 LL 型，則採用下列何種方式進行調整？,左旋轉,右旋轉,先左旋轉，再右旋轉,先右旋轉，再左旋轉,,B,medium,LL 型（Left-Left）：表示新插入的節點在不平衡節點的左子樹的左子樹中。LL 型只需要進行一次右旋轉（Right Rotation）即可恢復平衡。,,,
第12章　AVL樹,6,「AVL樹」中，若不平衡的型態為 RR 型，則採用下列何種方式進行調整？,左旋轉,右旋轉,先左旋轉，再右旋轉,先右旋轉，再左旋轉,,A,medium,RR 型（Right-Right）：表示新插入的節點在不平衡節點的右子樹的右子樹中。RR 型只需要進行一次左旋轉（Left Rotation）即可恢復平衡。,,,
第12章　AVL樹,7,「AVL樹」中，若不平衡的型態為 LR 型，則採用下列何種方式進行調整？,左旋轉,右旋轉,先左旋轉，再右旋轉,先右旋轉，再左旋轉,,D,medium,LR 型（Left-Right）：表示新插入的節點在不平衡節點的左子樹的右子樹中。LR 型需要先對左子樹進行左旋轉（轉為 LL 型），再對根進行右旋轉。,,,
第12章　AVL樹,8,「AVL樹」中，若不平衡的型態為 RL 型，則採用下列何種方式進行調整？,左旋轉,右旋轉,先左旋轉，再右旋轉,先右旋轉，再左旋轉,,C,medium,RL 型（Right-Left）：表示新插入的節點在不平衡節點的右子樹的左子樹中。RL 型需要先對右子樹進行右旋轉（轉為 RR 型），再對根進行左旋轉。,,,
第12章　AVL樹,9,「AVL樹」的「插入」操作，時間複雜度為何？,O(1),O(log n),O(n),以上皆非,,B,medium,AVL樹的插入操作分為兩部分：先進行 BST 插入（O(log n)），再沿路徑向上檢查並調整平衡（最多 O(log n) 次旋轉）。總時間複雜度為 O(log n)。,,,
第12章　AVL樹,10,「AVL樹」的「刪除」操作，時間複雜度為何？,O(1),O(log n),O(n),以上皆非,,B,medium,AVL樹的刪除操作與插入類似，需要先執行 BST 刪除（O(log n)），再沿路徑向上檢查平衡並進行旋轉調整（最多 O(log n) 次），整體時間複雜度為 O(log n)。,,,
