章節,題號,題目內容,選項A,選項B,選項C,選項D,選項E,正確答案,難易度,詳解,連貫題組別,自編題目,題目來源
第2章　時間複雜度,1,下列何者是函數 log n 的分類？,對數,多對數,多項式,指數,階乘,A,easy,log n 屬於對數函數（Logarithmic Function），其成長速度非常緩慢，是各類時間複雜度中最理想的等級之一。,,,
第2章　時間複雜度,2,下列何者是函數 n 的分類？,對數,多對數,多項式,指數,階乘,C,easy,函數 f(n)=n 屬於多項式函數（Polynomial Function），成長速度呈線性，是常見的時間複雜度等級。,,,
第2章　時間複雜度,3,下列何者是函數 2^n 的分類？,對數,多對數,多項式,指數,階乘,D,easy,2^n 屬於指數函數（Exponential Function），成長速度極快，當 n 稍大時便會耗費大量時間，通常不是理想的演算法。,,,
第2章　時間複雜度,4,下列何者是函數 n! 的分類？,對數,多對數,多項式,指數,階乘,E,easy,"n!（階乘）是成長速度最快的函數之一，比指數函數 2^n 還要快。例如 10! = 3,628,800，遠遠超過 2^10 = 1,024。",,,
第2章　時間複雜度,5,5n + 100 = ？,O(log n),O(n),O(n²),O(2ⁿ),以上皆非,B,easy,在 Big-O 表示法中，我們只保留最高次項並忽略常數係數。5n + 100 的最高次項為 n，因此時間複雜度為 O(n)。,,,
第2章　時間複雜度,6,n² + log n + 10⁵ = ？,O(log n),O(n),O(n²),O(2ⁿ),以上皆非,C,easy,n² + log n + 10⁵ 中，最高次項為 n²，log n 和常數項 10⁵ 的成長速度遠小於 n²，因此時間複雜度為 O(n²)。,,,
第2章　時間複雜度,7,n² + 2ⁿ + log n = ？,O(log n),O(n),O(n²),O(2ⁿ),以上皆非,D,easy,n² + 2ⁿ + log n 中，指數函數 2ⁿ 的成長速度遠大於多項式 n² 和對數 log n，因此時間複雜度為 O(2ⁿ)。,,,
第2章　時間複雜度,8,2 lg n + lg 2n = ？,O(log n),O(n),O(n²),O(2ⁿ),以上皆非,A,easy,2 lg n + lg 2n = 2 lg n + (lg 2 + lg n) = 3 lg n + 1，最高次項為 lg n，因此時間複雜度為 O(log n)。,,,
第2章　時間複雜度,9,給定程式碼：for i in range(n): print(i)，其時間複雜度為何？,O(log n),O(n),O(n²),O(2ⁿ),以上皆非,B,easy,該迴圈從 0 到 n-1 共執行 n 次，每次執行常數時間的 print 操作，因此時間複雜度為 O(n)。,,,
第2章　時間複雜度,10,"給定程式碼：for i in range(n): for j in range(n): print(i, j)，其時間複雜度為何？",O(n),O(n²),O(n³),O(2ⁿ),以上皆非,B,medium,外層迴圈執行 n 次，內層迴圈也執行 n 次，共執行 n × n = n² 次，因此時間複雜度為 O(n²)。,,,
第2章　時間複雜度,11,"給定程式碼：for i in range(n): for j in range(i, n): print(i, j)，其時間複雜度為何？",O(n),O(n²),O(n³),O(2ⁿ),以上皆非,B,medium,內層迴圈的執行次數從 n 遞減到 1，總執行次數為 n + (n-1) + ... + 1 = n(n+1)/2 = O(n²)。,,,
第2章　時間複雜度,12,"下表為程式 A、B、C 在不同輸入資料量 n 的執行時間（秒）：
A: n=10→10, n=20→40, n=100→1000
B: n=10→500, n=20→650, n=100→1000
C: n=10→100, n=20→200, n=100→1000
則程式 A 的時間複雜度為何？",O(log n),O(n),O(n log n),O(n²),以上皆非,D,medium,程式 A：n=10 時 10 秒，n=20（2倍）時 40 秒（4倍），n=100（10倍）時 1000 秒（100倍）。時間成長約為輸入的平方，因此為 O(n²)。,time_analysis,,
第2章　時間複雜度,13,承上題，程式 B 的時間複雜度為何？,O(log n),O(n),O(n log n),O(n²),以上皆非,A,medium,程式 B：n=10 時 500 秒，n=20 時 650 秒，n=100 時 1000 秒。時間成長非常緩慢，符合 O(log n) 的特徵。,time_analysis,,
第2章　時間複雜度,14,承上題，程式 C 的時間複雜度為何？,O(log n),O(n),O(n log n),O(n²),以上皆非,B,medium,程式 C：n=10 時 100 秒，n=20（2倍）時 200 秒（2倍），n=100（10倍）時 1000 秒（10倍）。時間與輸入呈線性關係，因此為 O(n)。,time_analysis,,
第2章　時間複雜度,15,承上題，哪支程式的執行時間效率最佳？,Program A,Program B,Program C,不一定,,B,medium,程式 B 的時間複雜度為 O(log n)，是三支程式中成長最慢的。當 n 越大時，程式 B 的優勢越明顯，因此效率最佳。,time_analysis,,
第2章　時間複雜度,16,下列「漸近表示法」中，何者的定義為：f(n) = O(g(n)) 表示存在正常數 c 與 n₀，使得當 n≥n₀ 時，0 ≤ f(n) ≤ cg(n)？,Big-O,Little-o,Big-Ω,Big-Θ,以上皆非,A,medium,Big-O 表示法（O）定義了演算法時間的上界，即最壞情況下的時間複雜度。Big-Ω 定義下界，Big-Θ 定義緊密界線。,,,
