章節,題號,題目內容,選項A,選項B,選項C,選項D,選項E,正確答案,難易度,詳解
第6章　堆疊與佇列,1,下列何者是「後進先出」(LIFO) 的資料結構？,陣列,堆疊,佇列,堆積,以上皆非,B,easy,"堆疊（Stack）的核心特性是後進先出（Last In First Out, LIFO），最後加入的元素最先被取出。就像疊盤子一樣，最後疊上去的盤子最先被拿走。"
第6章　堆疊與佇列,2,下列何者是「先進先出」(FIFO) 的資料結構？,陣列,堆疊,佇列,堆積,以上皆非,C,easy,"佇列（Queue）的核心特性是先進先出（First In First Out, FIFO），最早加入的元素最先被取出。就像排隊買票一樣，先排隊的人先買到票。"
第6章　堆疊與佇列,3,"假設有一個空的「堆疊」，經過下列操作後，堆疊中的元素為何？
Push(1)、Push(2)、Pop()、Push(3)、Push(4)","1, 2, 3","1, 2, 4","1, 3, 4","2, 3, 4",以上皆非,C,easy,"Push(1): [1]
Push(2): [1,2]
Pop(): [1]（移除 2）
Push(3): [1,3]
Push(4): [1,3,4]
最終堆疊由底到頂為 1, 3, 4。"
第6章　堆疊與佇列,4,"假設有一個空的「佇列」，經過下列操作後，佇列中的元素為何？
Enqueue(1)、Enqueue(2)、Dequeue()、Enqueue(3)、Enqueue(4)","1, 2, 3","1, 2, 4","1, 3, 4","2, 3, 4",以上皆非,D,easy,"Enqueue(1): [1]
Enqueue(2): [1,2]
Dequeue(): [2]（移除 1）
Enqueue(3): [2,3]
Enqueue(4): [2,3,4]
最終佇列由前往後為 2, 3, 4。"
第6章　堆疊與佇列,5,下列哪個操作可以從「堆疊」刪除一筆資料？,Push,Pop,Enqueue,Dequeue,以上皆非,B,easy,堆疊的 Pop 操作會移除並回傳頂端的元素。Push 是加入元素，Enqueue 和 Dequeue 是佇列的操作。
第6章　堆疊與佇列,6,下列哪個操作可以從「佇列」刪除一筆資料？,Push,Pop,Enqueue,Dequeue,,D,easy,佇列的 Dequeue 操作會移除並回傳最前面的元素。Enqueue 是加入元素，Push 和 Pop 是堆疊的操作。
第6章　堆疊與佇列,7,若想在「堆疊」中找到最小值，則時間複雜度為何？,O(1),O(log n),O(n),O(n²),以上皆非,C,medium,堆疊沒有維護排序資訊，要找到最小值需要遍歷所有元素進行比較，時間複雜度為 O(n)。除非使用額外的資料結構（如 Min Stack）來輔助。
第6章　堆疊與佇列,8,若想在「佇列」中找到最小值，則時間複雜度為何？,O(1),O(log n),O(n),O(n²),以上皆非,C,medium,與堆疊類似，普通佇列沒有維護排序資訊，要找到最小值需要遍歷所有元素，時間複雜度為 O(n)。
第6章　堆疊與佇列,9,若環狀佇列的長度為 n，下列何者可以用來判斷環狀佇列已填滿？,front == rear,rear == n-1,(rear+1) % n == front,rear == front+1,,C,medium,環狀佇列通常保留一個空位來區分「空」和「滿」。當 (rear+1)%n == front 時表示佇列已滿。front==rear 表示佇列為空。
第6章　堆疊與佇列,10,下列資料結構中，何者的加入與刪除可以在兩端進行？,佇列 (Queue),優先佇列 (Priority Queue),雙向佇列 (Deque),以上皆可,,C,easy,"雙向佇列（Deque, Double-Ended Queue）允許在兩端進行加入和刪除操作。Queue 只能在一端加入、另一端刪除。Priority Queue 根據優先權處理。"
第6章　堆疊與佇列,11,下列資料結構中，何者適合用來解「迷宮問題」？,鏈結串列,堆疊,佇列,堆積,以上皆非,B,medium,迷宮問題通常使用深度優先搜尋（DFS）來探索路徑，而 DFS 使用堆疊來記錄走訪路徑。找到死路時可以 Pop 回溯到上一個岔路。
第6章　堆疊與佇列,12,下列資料結構中，何者適合用來進行「中序表示式轉後序表示式」？,鏈結串列,堆疊,佇列,堆積,以上皆非,B,medium,中序轉後序（Infix to Postfix）使用堆疊來暫存運算子，根據運算子的優先權進行 Pop 與 Push 操作，這是堆疊的經典應用。
第6章　堆疊與佇列,13,已知某運算式的「後序表示式」，下列何種資料結構適合用來計算運算式的結果？,鏈結串列,堆疊,佇列,堆積,以上皆非,B,medium,計算後序表示式（Postfix Evaluation）時，遇到運算元就 Push 進堆疊，遇到運算子就 Pop 兩個運算元進行計算，再將結果 Push 回去。這是堆疊的經典應用。
第6章　堆疊與佇列,14,已知 A=1、B=2、C=3、D=4，且運算式的後序式表示法為：A B + C D + *，則計算結果為何？,11,15,21,24,以上皆非,C,medium,"後序式 A B + C D + * 的計算步驟：
1. Push A(1), Push B(2)
2. 遇+，Pop 2 和 1，計算 1+2=3，Push 3
3. Push C(3), Push D(4)
4. 遇+，Pop 4 和 3，計算 3+4=7，Push 7
5. 遇*，Pop 7 和 3，計算 3×7=21
結果為 21。"
