章節,題號,題目內容,選項A,選項B,選項C,選項D,選項E,正確答案,難易度,詳解
第3章　Python資料結構,1,Python 程式中，串列 (List) 是使用下列何者建立？,小括號 ( ),中括號 [ ],大括號 { },以上皆非,,B,easy,"Python 中使用中括號 [ ] 建立串列 (List)，例如 list1 = [1, 2, 3]。List 是可變、有序的資料結構。"
第3章　Python資料結構,2,Python 程式中，元組 (Tuple) 是使用下列何者建立？,小括號 ( ),中括號 [ ],大括號 { },以上皆非,,A,easy,"Python 中使用小括號 ( ) 建立元組 (Tuple)，例如 tup1 = (1, 2, 3)。Tuple 是不可變、有序的資料結構。"
第3章　Python資料結構,3,Python 程式中，集合 (Set) 是使用下列何者建立？,小括號 ( ),中括號 [ ],大括號 { },以上皆非,,C,easy,"Python 中使用大括號 { } 建立集合 (Set)，例如 set1 = {1, 2, 3}。集合是無序、不重複的資料結構。"
第3章　Python資料結構,4,下列 Python 提供的資料結構中，何者在建立後不可以變動？,串列 (List),元組 (Tuple),集合 (Set),字典 (Dictionary),,B,easy,元組 (Tuple) 是不可變（immutable）的資料結構，建立後無法修改、新增或刪除元素。List、Set、Dictionary 皆為可變（mutable）。
第3章　Python資料結構,5,下列 Python 提供的資料結構中，何者不具順序性？,串列 (List),元組 (Tuple),集合 (Set),字典 (Dictionary),,C,easy,集合 (Set) 是無序（unordered）的資料結構，元素沒有特定的順序。List 和 Tuple 是有序的，Dictionary 在 Python 3.7+ 中會保留插入順序。但嚴格來說 Set 是無序的。
第3章　Python資料結構,6,"下列 Python 程式的輸出結果為何？
>>> list1 = [1, 2, 3, 4]
>>> list1[1]",1,2,3,4,以上皆非,B,easy,Python 的索引從 0 開始，因此 list1[0]=1、list1[1]=2、list1[2]=3、list1[3]=4。list1[1] 的結果為 2。
第3章　Python資料結構,7,"下列 Python 程式的輸出結果為何？
>>> list1 = [1, 2, 3, 4]
>>> list1[-2]",1,2,3,4,以上皆非,C,easy,"Python 支援負數索引，-1 表示最後一個元素、-2 表示倒數第二個元素。list1 = [1,2,3,4]，list1[-2] = 3。"
第3章　Python資料結構,8,"下列 Python 程式的輸出結果為何？
>>> list1 = [1, 2, 3, 4]
>>> list1.insert(1, 5)
>>> list1","[5, 1, 2, 3, 4]","[1, 5, 2, 3, 4]","[1, 2, 5, 3, 4]","[1, 2, 3, 5, 4]",以上皆非,B,medium,"insert(1, 5) 表示在索引 1 的位置插入元素 5。原始 list1 = [1, 2, 3, 4]，在索引 1 處插入 5 後，結果為 [1, 5, 2, 3, 4]。"
第3章　Python資料結構,9,"下列 Python 程式的輸出結果為何？
>>> A = {1, 2, 3}
>>> B = {3, 4, 5}
>>> A & B",{3},"{1, 2, 3, 4, 5}","{1, 2}","{4, 5}",以上皆非,A,medium,在 Python 中，& 運算子對集合進行交集運算。A & B 取 A 與 B 的共同元素，結果為 {3}。
第3章　Python資料結構,10,"下列 Python 程式的輸出結果為何？
>>> A = {1, 2, 3}
>>> B = {3, 4, 5}
>>> A - B",{3},"{1, 2, 3, 4, 5}","{1, 2}","{4, 5}",以上皆非,C,medium,"在 Python 中，- 運算子對集合進行差集運算。A - B 取 A 中有但 B 中沒有的元素，結果為 {1, 2}。"
第3章　Python資料結構,11,"下列 Python 程式的輸出結果為何？
>>> s1 = {1, 2}
>>> s2 = {1, 2, 3}
>>> s1.issubset(s2)",True,False,,以上皆非,,A,easy,"issubset() 方法檢查一個集合是否為另一個集合的子集。s1 = {1, 2} 的所有元素都在 s2 = {1, 2, 3} 中，因此 s1 是 s2 的子集，回傳 True。"
第3章　Python資料結構,12,"下列 Python 程式的輸出結果為何？
>>> dict1 = {""A"":1, ""B"":2, ""C"":3}
>>> dict1[""A""]",1,2,3,以上皆非,,A,easy,"字典 (Dictionary) 使用鍵 (Key) 來存取對應的值 (Value)。dict1[""A""] 取出鍵 ""A"" 對應的值，結果為 1。"
