章節,題號,題目內容,選項A,選項B,選項C,選項D,選項E,正確答案,難易度,詳解,連貫題組別,自編題目,題目來源
第13章　B-樹,1,下列何者階數的「B-樹」，經常稱為「2-3樹」？,2,3,4,5,以上皆非,B,medium,2-3樹就是階數（Order）為 3 的 B-樹。它的每個內部節點可以有 2 或 3 個子節點，儲存 1 或 2 個鍵值。名稱中的「2」和「3」分別代表子節點的可能數量。,,,
第13章　B-樹,2,下列何者階數的「B-樹」，經常稱為「2-3-4樹」或「2-4樹」？,2,3,4,5,以上皆非,C,medium,「2-3-4樹」或「2-4樹」是階數（Order）為 4 的 B-樹。名稱中的 2、3、4 代表節點可以擁有的子節點數量（即每個節點可以有 2、3 或 4 個子節點，對應 1、2 或 3 個鍵值）。,,,
第13章　B-樹,3,下列有關「2-3樹」的敘述，何者正確？,樹的高度可能是2或3,樹的節點可以容納2或3個鍵值,樹的節點可以有2或3個子節點,無特別意義,,C,easy,2-3樹的內部節點可以有 2 或 3 個子節點（對應於 1 或 2 個鍵值）。名稱中的「2」和「3」代表子節點的可能數量，而不是鍵值的數量。,,,
第13章　B-樹,4,有關階數為 m 的「B-樹」，每個內部節點（除了根節點）之外，至少容納幾個鍵值？,0,⌈m/2⌉-1,m-1,m,以上皆非,B,hard,在階數為 m 的 B-樹中，除了根節點外，每個內部節點至少要有 ⌈m/2⌉-1 個鍵值（即至少有 ⌈m/2⌉ 個子節點）。這是為了維持 B-樹的平衡性與空間使用效率。,,,
第13章　B-樹,5,有關階數為 m 的「B-樹」，每個內部節點（除了根節點）之外，至多容納幾個鍵值？,0,⌈m/2⌉-1,m-1,m,以上皆非,C,hard,在階數為 m 的 B-樹中，每個節點至多可以有 m-1 個鍵值（即至多可以有 m 個子節點）。這是 B-樹階數的定義。,,,
第13章　B-樹,6,「B-樹」中，若某節點的鍵值個數為 k，則它的子節點有幾個？,k-1,k+1,k,2k,以上皆非,B,medium,在 B-樹中，鍵值與子節點的關係為：鍵值個數 = 子節點個數 - 1。因此若鍵值個數為 k，則子節點個數為 k+1。這是因為每個鍵值之間都是一個子樹的間隔。,,,
第13章　B-樹,7,下列何種資料結構，適合用來儲存大型資料庫，例如：電腦磁碟檔案系統等？,二元搜尋樹,AVL樹,紅黑樹,B-樹,以上皆非,D,medium,B-樹（B-Tree）專門設計用來處理大量資料的儲存與存取，特別適合磁碟等輔助儲存裝置。因為 B-樹的每個節點可以儲存大量鍵值，樹的高度很低，大幅減少了磁碟 I/O 次數。,,,
第13章　B-樹,8,有關「B-樹」的樹葉節點，何者正確？,所有樹葉節點都是儲存 m 個鍵值,所有樹葉節點都在同一層,所有樹葉節點都沒有鍵值,所有樹葉節點的父節點都相同,,B,medium,B-樹的所有樹葉節點都在同一層（same depth），這是 B-樹保持平衡的關鍵特性。這確保了從根節點到任何樹葉節點的路徑長度都相同。,,,
第13章　B-樹,9,「B-樹」的插入過程中，若節點的鍵值已滿，則是採取下列何種操作？,分割 (Split),合併 (Merge),刪除 (Delete),旋轉 (Rotation),以上皆非,A,medium,在 B-樹中插入鍵值時，若目標節點的鍵值已達到 m-1 個（已滿），則需要將該節點分割（Split）成兩個節點，並將中間鍵值提升到父節點。,,,
第13章　B-樹,10,「B-樹」的刪除過程中，若節點的鍵值少於最小值，則是如何處理？,刪除該節點,將該節點分成兩個節點，以達到平衡,向兄弟節點借鍵值，或是使用合併，以達到平衡,該節點維持不變,,C,medium,在 B-樹中刪除鍵值後，若節點的鍵值個數少於 ⌈m/2⌉-1，則需要進行調整。首先嘗試向兄弟節點借鍵值（透過旋轉），若兄弟節點也無法出借，則將該節點與兄弟節點合併（Merge）。,,,
