章節,題號,題目內容,選項A,選項B,選項C,選項D,選項E,正確答案,難易度,詳解,連貫題組別,自編題目,題目來源
第5章　鏈結串列,1,「單向鏈結串列」的插入，下列何者較快？,插在最前面,插在最後面,插在最前面或最後面會一樣快,,,A,medium,單向鏈結串列只有一個指向下一個節點的指標（next），且通常只維護 head 指標。插入最前面只需 O(1)，而插入最後面需要遍歷到尾端，時間為 O(n)。,,,
第5章　鏈結串列,2,「雙向鏈結串列」的插入，下列何者較快？,插在最前面,插在最後面,插在最前面或最後面會一樣快,,,C,medium,雙向鏈結串列通常同時維護 head 和 tail 指標，因此無論插入最前面還是最後面，都只需要 O(1) 的時間。,,,
第5章　鏈結串列,3,「環狀鏈結串列」的插入，下列何者較快？,插在最前面,插在最後面,插在最前面或最後面會一樣快,,,C,medium,環狀鏈結串列的首尾相連，若維護了尾端指標（或頭尾指標），在最前面和最後面插入都只需 O(1) 時間。,,,
第5章　鏈結串列,4,下列何者是「單向鏈結串列」的特性？,搜尋某一筆資料的時間複雜度為 O(1),每個節點都有一個指標指向前一個節點,每個節點都有一個指標指向後一個節點,走訪可以從前面往後面，也可以從後面往前面,,C,easy,單向鏈結串列（Singly Linked List）的每個節點都只有一個 next 指標，指向下一個節點。它只能從頭節點開始往後走訪，搜尋需 O(n)，沒有指向前一個節點的指標。,,,
第5章　鏈結串列,5,有關「單向鏈結串列」的基本操作，下列何者的時間複雜度為 O(1)？,搜尋某單筆資料,在最前面插入一筆資料,在最後面插入一筆資料,在最後面刪除一筆資料,,B,medium,單向鏈結串列在最前面插入只需建立新節點並將其 next 指向原 head，再更新 head，時間為 O(1)。其他操作都需要遍歷串列，時間為 O(n)。,,,
第5章　鏈結串列,6,"若節點的 Python 程式為：
class Node:
    def __init__(self, key=None):
        self.key = key
        self.next = None
則此鏈結串列可能是下列何者？",單向鏈結串列,雙向鏈結串列,環狀鏈結串列,以上皆非,,A,easy,此節點只有 key 和 next 屬性，沒有 prev 屬性，因此只能是單向鏈結串列（Singly Linked List）或單向環狀鏈結串列。但給定的節點定義無法區分是否為環狀，最基本可確定為單向鏈結串列。,,,
第5章　鏈結串列,7,"若節點的 Python 程式為：
class Node:
    def __init__(self, key=None):
        self.key = key
        self.prev = None
        self.next = None
則此節點可能用於哪種鏈結串列？
(1)單向鏈結串列 (2)雙向鏈結串列 (3)環狀鏈結串列",1 或 2,1 或 3,2 或 3,1、2 或 3,以上皆非,C,medium,該節點同時有 prev 和 next 指標，因此可以用於雙向鏈結串列（2）和雙向環狀鏈結串列（3）。單向鏈結串列（1）不需要 prev 指標。,,,
第5章　鏈結串列,8,若想在「單向鏈結串列」中插入一個新的節點，則需改變幾個指標？,1,2,3,4,以上皆非,B,hard,在單向鏈結串列中插入節點，需要改變兩個指標：新節點的 next 指向後續節點，以及前一個節點的 next 指向新節點。,,,
第5章　鏈結串列,9,若想在「雙向鏈結串列」中插入一個新的節點，則需改變幾個指標？,1,2,3,4,以上皆非,D,hard,在雙向鏈結串列中插入節點，需要改變四個指標：新節點的 next 和 prev，以及前一個節點的 next 和後一個節點的 prev。,,,
第5章　鏈結串列,10,下列有關 Array 與 Linked List 的敘述，何者正確？,Linked List 的優點是可以直接存取任何一個成員，所以存取速度快,Array 可以用來模擬 Linked List，Linked List 也可以用來模擬 Array,Linked List 的好處是只要宣告指標變數即可，要使用空間時再向系統要求所需空間，所以不會浪費,Array 的優點是 Insert、Delete 時不需要搬移大量的成員，因此處理較為快速,,C,medium,Linked List 的優點是動態配置記憶體，使用時才向系統要求空間，不會有閒置的記憶體浪費。Array 的優點是隨機存取 O(1)，但 Insert/Delete 需要搬移大量資料。,,,
第5章　鏈結串列,11,下列排序演算法中，何者在平均情形下的排序速度最快？,泡沫排序,插入排序,合併排序,快速排序,桶子排序,D,medium,快速排序（Quick Sort）在平均情況下的時間複雜度為 O(n log n)，且常數因子較小，實際執行速度通常比合併排序等其他 O(n log n) 演算法更快。泡沫排序和插入排序為 O(n²)。,,,
