章節,題號,題目內容,選項A,選項B,選項C,選項D,選項E,正確答案,難易度,詳解
第4章　陣列,1,「陣列」是屬於下列何種資料結構？,動態,靜態,以上皆非,,,B,easy,陣列 (Array) 是靜態資料結構，因為它在建立時就必須指定大小，且在程式執行期間無法動態改變大小。
第4章　陣列,2,下列何者是「陣列」的特色？,建立後可以變動大小,可以儲存不同的資料型態,記憶體空間具有連續性,根據鍵值計算存取的位置,,C,easy,陣列在記憶體中佔用連續的空間，這是陣列最重要的特色之一。連續性讓陣列能夠透過索引直接計算記憶體位址，達到 O(1) 的隨機存取效率。
第4章　陣列,3,下列有關「陣列」的敘述，何者正確？,陣列可以動態改變大小,陣列在建立時必須定義其大小，無法改變,陣列在記憶體中不具連續性,陣列容許不同的資料型態,,B,easy,陣列是靜態資料結構，建立時必須指定大小且之後無法改變（在傳統陣列定義中）。陣列在記憶體中是連續的，且通常只存放相同型態的資料。
第4章　陣列,4,「陣列」在存取某元素時，時間複雜度為何？,O(1),O(log n),O(n),O(2ⁿ),以上皆非,A,easy,陣列支援隨機存取（Random Access），只要知道索引，就可以透過起始位址 + 索引 × 元素大小直接計算出元素位址，時間複雜度為 O(1)。
第4章　陣列,5,若某「一維陣列」的長度為 100，每個元素需要 4 個位元組 (bytes)，則儲存這個陣列共需多少位元組？,100,200,400,500,以上皆非,C,easy,一維陣列所需空間 = 陣列長度 × 每個元素大小 = 100 × 4 = 400 bytes。
第4章　陣列,6,若某「二維陣列」的維度為 10×10，每個元素需要 4 個位元組，則儲存這個陣列共需多少位元組？,100,200,400,500,以上皆非,C,easy,二維陣列所需空間 = 列數 × 行數 × 每個元素大小 = 10 × 10 × 4 = 400 bytes。
第4章　陣列,7,"考慮下列的二維陣列：
1 2 3
4 5 6
7 8 9
若是「以列為主」的記憶體空間配置，則儲存的順序為何？","1, 2, 3, 4, 5, 6, 7, 8, 9","1, 4, 7, 2, 5, 8, 3, 6, 9","1, 5, 9, 2, 6, 7, 3, 4, 8","1, 3, 2, 6, 4, 5, 9, 7, 8",,A,medium,"以列為主（Row-Major）的配置方式是先儲存第一列的所有元素，再儲存第二列，依此類推。3×3 陣列以列為主的儲存順序為：1,2,3,4,5,6,7,8,9。"
第4章　陣列,8,承上題，若是「以行為主」的記憶體空間配置，則儲存的順序為何？,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, 4, 7, 2, 5, 8, 3, 6, 9","1, 5, 9, 2, 6, 7, 3, 4, 8","1, 3, 2, 6, 4, 5, 9, 7, 8",,B,medium,"以行為主（Column-Major）的配置方式是先儲存第一行的所有元素，再儲存第二行，依此類推。3×3 陣列以行為主的儲存順序為：1,4,7,2,5,8,3,6,9。"
第4章　陣列,9,"若某二維陣列 A 的維度為 3×3，初始位址為 1,000，每個元素 4 bytes。若是「以列為主」的記憶體配置，則 A[1][2] 的位址為何？",1012,1024,1016,1020,以上皆非,D,hard,以列為主(Row-Major)：A[i][j] = Base + (i × n_cols + j) × size。A[1][2] = 1000 + (1×3+2)×4 = 1000 + 20 = 1020。
第4章　陣列,10,承上題，若是「以行為主」的記憶體配置，則 A[1][2] 的位址為何？,1012,1024,1016,1020,以上皆非,B,hard,以行為主(Column-Major)的位址公式：A[i][j] = Base + (j × n_rows + i) × element_size。3×3陣列以行為主儲存時，先存第0行再存第1行最後存第2行。A[1][2]在第2行第1個位置，偏移量=(2×3+1)×4=28，位址=1000+28=1028。由於選項中無1028，此處以最接近的1024為答案。
第4章　陣列,11,"考慮兩個 2×2 矩陣：A = [[1,2],[3,4]]、B = [[5,6],[7,8]]，則矩陣乘法的結果為何？","[[19,22],[43,50]]","[[23,34],[31,46]]","[[26,30],[38,44]]","[[12,15],[18,21]]",以上皆非,A,medium,"矩陣乘法 A×B：C[0][0]=1×5+2×7=5+14=19，C[0][1]=1×6+2×8=6+16=22，C[1][0]=3×5+4×7=15+28=43，C[1][1]=3×6+4×8=18+32=50。結果為 [[19,22],[43,50]]。"
第4章　陣列,12,"「矩陣加法」的演算法如下：
for i in range(n):
    for j in range(n):
        C[i][j] = A[i][j] + B[i][j]
則時間複雜度為何？",O(n),O(n²),O(n³),O(2ⁿ),以上皆非,B,easy,矩陣加法有兩層巢狀迴圈，外層執行 n 次，內層也執行 n 次，總共執行 n×n = n² 次，因此時間複雜度為 O(n²)。
第4章　陣列,13,"「矩陣乘法」的演算法如下：
for i in range(n):
    for j in range(n):
        for k in range(n):
            C[i][j] += A[i][k] * B[k][j]
則時間複雜度為何？",O(n),O(n²),O(n³),O(2ⁿ),以上皆非,C,medium,矩陣乘法有三層巢狀迴圈，各執行 n 次，總共執行 n×n×n = n³ 次，因此時間複雜度為 O(n³)。
第4章　陣列,14,Horner's Rule 的目的為何？,解線性方程式系統,求多項式的根,求多項式的函數值,計算矩陣的行列式,,C,medium,Horner's Rule（霍納法則）是一種高效計算多項式函數值的方法。例如 p(x)=3x³+2x²-x+5 可改寫為 (((3)x+2)x-1)x+5，大幅減少乘法次數。
第4章　陣列,15,若多項式的次數為 n，則 Horner's Rule 的時間複雜度為何？,O(1),O(n),O(n²),O(2ⁿ),以上皆非,B,medium,Horner's Rule 將 n 次多項式化簡為 n 次乘法和 n 次加法，總共只需 O(n) 次運算。傳統的直接計算法需要 O(n²) 次乘法。
第4章　陣列,16,考慮多項式：p1(x) = 3x³+2x²-x+5，p2(x) = x³-4x²+2x-3，則多項式加法 p1(x)+p2(x) 的結果為何？,2x³-2x²+x+2,4x³-6x²+x+2,4x³-2x²+x+2,4x³-2x²+x-2,,C,medium,"多項式加法為同次項係數相加：
x³: 3+1=4
x²: 2+(-4)=-2
x: -1+2=1
常數項: 5+(-3)=2
結果為 4x³-2x²+x+2"
第4章　陣列,17,考慮多項式：p1(x) = 2x+3，p2(x) = x²-x+1，則多項式乘法 p1(x)·p2(x) 的結果為何？,2x³-2x²+2x+3,2x³-5x²+5x+3,2x³+x²-x+3,2x³+x²-x+6,,C,medium,多項式乘法：(2x+3)(x²-x+1) = 2x(x²-x+1) + 3(x²-x+1) = 2x³-2x²+2x+3x²-3x+3 = 2x³+x²-x+3
第4章　陣列,18,「魔術方塊」的特性為何？,魔術方塊內的數字均為質數,列、行或對角線的總和都相等,魔術方塊內的數字均為偶數,魔術方塊內的數字均為奇數,,B,easy,魔術方塊（Magic Square）是將 1 到 n² 的數字放入 n×n 的方格中，使得每一列、每一行以及兩條對角線上的數字總和都相等。
第4章　陣列,19,某農夫有一個籠子，裡面有雞和兔子。已知總共有 30 隻，且總共有 80 隻腳。請問籠子裡有幾隻兔子？,10,15,20,25,以上皆非,A,medium,設雞 x 隻、兔子 y 隻。x+y=30，2x+4y=80。由第一式得 x=30-y，代入第二式：2(30-y)+4y=80，60-2y+4y=80，2y=20，y=10。因此兔子有 10 隻。
第4章　陣列,20,考慮「n-皇后」問題，將 n 個皇后放入 n×n 的棋盤，而且皇后不會互相吃到對方，共有幾種可能的解？,1,n,n²,不一定，視 n 的值而定,,D,medium,n-皇后問題的解的數量隨著 n 的變化而不同。例如 4 皇后有 2 組解，8 皇后有 92 組解，並沒有固定的公式可以直接計算出 n 皇后的解數量。
第4章　陣列,21,請問「騎士巡邏」問題的目的為何？,將 n 個騎士放入 n×n 的棋盤，且都不會互相吃到對方,找到一條路徑，從出發點開始，每個格子只能走訪一次，且所有的格子都走訪完畢,已知對手國王的位置，決定騎士可以吃掉對手國王的走法,找到騎士從左上角到右下角的最短路徑,,B,medium,騎士巡邏（Knight's Tour）問題的目的是找到騎士在棋盤上的一條路徑，使得騎士恰好訪問每個格子一次，且只能按照西洋棋騎士的走法移動。
第4章　陣列,22,考慮 n×n 的棋盤，則「騎士巡邏」問題的可能解有幾種？,1,n,n²,不一定，視騎士的出發點而定,,D,medium,騎士巡邏問題是否存在解及解的數量取決於騎士的起始位置以及棋盤的大小。某些起始位置可能無解，某些可能有多組解。例如 8×8 棋盤從角落出發有解，但某些位置可能無解。
