章節,題號,題目內容,選項A,選項B,選項C,選項D,選項E,正確答案,難易度,詳解
第11章　圖形結構,1,下列何者被譽為「圖論之父」？,牛頓,萊布尼茲,高斯,歐拉,以上皆非,D,easy,李昂哈德·歐拉（Leonhard Euler）被譽為「圖論之父」。他在 1736 年解決了柯尼斯堡七橋問題，被認為是圖論的起源。
第11章　圖形結構,2,下列何者不是「圖形」的種類？,無向圖 (Undirected Graph),有向圖 (Directed Graph),平衡圖 (Balanced Graph),有權重圖 (Weighted Graph),,C,easy,圖形的主要種類包括：無向圖、有向圖和有權重圖。「平衡圖」不是圖形的標準分類名稱，平衡通常用來描述樹（如 AVL 樹）或 BST 的特性。
第11章　圖形結構,3,「圖形」中，下列何者代表「分支度」？,圖形中的頂點數,圖形中與某頂點相連的邊的個數,圖形中的連通元的個數,圖形中迴圈的個數,,B,easy,分支度（Degree）指的是圖形中與某個頂點相連的邊的數量。在無向圖中就是邊的數量，在有向圖中分為入分支度（In-degree）和出分支度（Out-degree）。
第11章　圖形結構,4,已知某「完整圖」共有 10 個頂點，則邊有多少個？,40,45,50,55,以上皆非,B,medium,"完整圖（Complete Graph）中每個頂點都與其他所有頂點相連。邊的數量為 C(10,2) = 10×9/2 = 45。"
第11章　圖形結構,5,給定四個頂點的有向圖相鄰矩陣，下列何者不是「強連通元」？,所有頂點皆可互相到達,部分頂點可互相到達,沒有任何頂點可互相到達,只有單一頂點,,C,medium,強連通元（Strongly Connected Component）是指在有向圖中，集合內的任意兩個頂點都可以互相到達。選項 C「沒有任何頂點可互相到達」不符合強連通元的定義。
第11章　圖形結構,6,給定圖形：1-2-3-4-5（1連2，2連3，2連4，3連5，4連5），若出發點為 1，則「廣度優先搜尋」(BFS) 序列為何？（編號小者優先）,"1, 2, 3, 4, 5","1, 2, 3, 5, 4","1, 2, 4, 3, 5","1, 2, 4, 5, 3",以上皆非,C,medium,"BFS 使用佇列，從 1 出發：
拜訪 1，鄰居 2 入隊 → [1]
拜訪 2，鄰居 3,4 入隊（3先4後）→ [1,2]
拜訪 3，鄰居 5 入隊 → [1,2,3]
拜訪 4 → [1,2,3,4]
拜訪 5 → [1,2,3,4,5]
BFS 序列為 1, 2, 3, 4, 5。"
第11章　圖形結構,7,承上題，若出發點為 1，則「深度優先搜尋」(DFS) 序列為何？（編號小者優先）,"1, 2, 3, 4, 5","1, 2, 3, 5, 4","1, 2, 4, 3, 5","1, 2, 4, 5, 3",以上皆非,B,medium,"DFS 使用堆疊（或遞迴），從 1 出發：
1 → 2（最小的鄰居）→ 3（最小的鄰居）→ 5（最小的鄰居）
5 沒有未拜訪的鄰居，回溯到 3→2
2 還有未拜訪的鄰居 4 → 4
DFS 序列為 1, 2, 3, 5, 4。"
第11章　圖形結構,8,「廣度優先搜尋」(BFS) 須使用下列哪種資料結構？,堆疊,佇列,堆積,不相交集合,以上皆非,B,easy,BFS（廣度優先搜尋）使用佇列（Queue）來實作。它從起點開始，先將所有鄰居加入佇列，再逐層向外擴散，符合 FIFO 的特性。
第11章　圖形結構,9,「深度優先搜尋」(DFS) 須使用下列哪種資料結構？,堆疊,佇列,堆積,不相交集合,以上皆非,A,easy,DFS（深度優先搜尋）使用堆疊（Stack）來實作（或透過遞迴隱式使用呼叫堆疊）。它沿著一條路徑深入探索，走到盡頭再回溯，符合 LIFO 的特性。
第11章　圖形結構,10,Kruskal 演算法是用來解下列何種問題？,圖形搜尋,最小生成樹,最短距離,圖形著色,以上皆非,B,medium,"Kruskal 演算法用來尋找加權無向圖的最小生成樹（Minimum Spanning Tree, MST）。它按照邊的權重由小到大依序選取，使用不相交集合來避免形成迴圈。"
第11章　圖形結構,11,Kruskal 演算法的設計策略為何？,暴力法,分而治之法,貪婪演算法,動態規劃法,以上皆非,C,medium,Kruskal 演算法是一種貪婪演算法（Greedy Algorithm），每次選擇權重最小的邊，並確保不形成迴圈，最終得到權重總和最小的生成樹。
第11章　圖形結構,12,Dijkstra 演算法是用來解下列何種問題？,圖形搜尋,最小生成樹,最短距離,圖形著色,以上皆非,C,medium,Dijkstra 演算法用來解決單源最短路徑問題（Single-Source Shortest Path），找出從一個起點到圖中所有其他頂點的最短路徑。
第11章　圖形結構,13,Dijkstra 演算法的設計策略為何？,暴力法,分而治之法,貪婪演算法,動態規劃法,以上皆非,C,medium,Dijkstra 演算法是一種貪婪演算法。它每次選擇距離起點最近的未處理頂點，並更新其鄰居的距離，逐步擴大已確定最短路徑的頂點集合。
第11章　圖形結構,14,Floyd-Warshall 演算法是用來解下列何種問題？,圖形搜尋,最小生成樹,最短距離,圖形著色,以上皆非,C,medium,Floyd-Warshall 演算法用來解決全對最短路徑問題（All-Pairs Shortest Path），計算圖中所有頂點對之間的最短路徑。
第11章　圖形結構,15,Floyd-Warshall 演算法的設計策略為何？,暴力法,分而治之法,貪婪演算法,動態規劃法,以上皆非,D,medium,"Floyd-Warshall 演算法使用動態規劃法（Dynamic Programming）。它逐步考慮每個頂點作為中繼點，更新所有頂點對之間的最短距離。DP 公式：D[k][i][j] = min(D[k-1][i][j], D[k-1][i][k] + D[k-1][k][j])。"
第11章　圖形結構,16,給定一個圖形，每個頂點的分支度均為偶數，則「歐拉旅途」(Euler Tour) 是否存在？,是,否,不一定,,,A,hard,歐拉旅途（Euler Tour / Euler Circuit）存在的充要條件是：所有頂點的分支度均為偶數，且圖形是連通的（單一連通元）。因此當所有頂點分支度均為偶數時，歐拉旅途一定存在。
第11章　圖形結構,17,給定一個圖形，若恰有兩個頂點的分支度為奇數，則「歐拉路徑」(Euler Path) 是否存在？,是,否,不一定,,,A,hard,歐拉路徑（Euler Path / Euler Trail）存在但不構成迴圈的充要條件是：恰好有兩個頂點的分支度為奇數（分別為起點和終點），其餘頂點分支度均為偶數，且圖形是連通的。
第11章　圖形結構,18,給定一個 5 個頂點的「完整圖」，「歐拉旅途」(Euler Tour) 是否存在？,是,否,不一定,,,A,hard,在 5 個頂點的完整圖 K₅ 中，每個頂點的分支度為 4（偶數），且圖形是連通的，符合歐拉旅途存在的條件，因此歐拉旅途存在。
第11章　圖形結構,19,給定一個 4 個頂點的「完整圖」K₄，「歐拉旅途」(Euler Tour) 是否存在？,是,否,不一定,,,B,hard,在 4 個頂點的完整圖 K₄ 中，每個頂點的分支度為 3（奇數），不符合「所有頂點分支度均為偶數」的歐拉旅途存在條件，因此歐拉旅途不存在。
第11章　圖形結構,20,承上題，K₄ 的「哈密頓迴圈」(Hamiltonian Cycle) 是否存在？,是,否,不一定,,,A,hard,哈密頓迴圈（Hamiltonian Cycle）是指經過每個頂點恰好一次並回到起點的路徑。在 K₄ 中，由於所有頂點兩兩相連，一定可以找到哈密頓迴圈。實際上，任何 n≥3 的完整圖 Kₙ 都存在哈密頓迴圈。
